,title,originallink,link,description,pubDate
12,“1분에 6개씩 팔았다”…편의점 업계 효자 된 ‘○○’,http://www.kukinews.com/newsView/kuk202104230186,http://www.kukinews.com/newsView/kuk202104230186,"GS리테일은 CJ푸드빌, 이랜드이츠 등과 손잡고 이들 업체가 운영하는 식당에 주류 스마트오더 플랫폼 '와인25플러스'에서 구매한 와인을 가져가면 주류 반입비를 받지 않는 '콜키지 프리' 서비스를 시작했다.... ","Sat, 24 Apr 2021 05:33:00 +0900"
13,고속도로 휴게소에 음식조리 서빙로봇 출현!!!,https://www.wikitree.co.kr/articles/642111,https://www.wikitree.co.kr/articles/642111,"탁자 등에 비치된 QR코드를 휴대폰으로 스캔하거나 모바일 App 네이버 주문, 페이코 오더, 스마트 오더 2.0을 통해 실내매장의 음식을 주문할 수 있으며, 안성(서울방향)휴게소에서는 실외매장인 열린매장 음식도 모바일... ","Fri, 23 Apr 2021 20:07:00 +0900"
14,"중기부,‘스마트상점 기술보급’협·단체 모집",http://www.breaknews.com/801758,http://www.breaknews.com/801758,"점포에 스마트오더, 키오스크, 스마트미러 등 기술 보급을 지원하는 ‘스마트상점 기술보급사업’을 추진하고 있다. 이번 모집은 업종별 협·단체를 선정해 업종에... ","Fri, 23 Apr 2021 17:01:00 +0900"
15,집콕에 꿀잼 영상이 안주! 스트리밍족 위한 홈술 주류,http://www.slist.kr/news/articleView.html?idxno=245517,http://www.slist.kr/news/articleView.html?idxno=245517,말리부 오리지널 200mL 1병과 말리부 라임 200mL 1병이 제공되며 GS25의 주류 스마트오더 시스템 '와인25플러스'를 통해 구매할 수 있다. 상품 포장박스에는 '말리쿨' 칵테일 황금비율 레시피가 적혀 있어 집에서도 맛있는... ,"Fri, 23 Apr 2021 16:06:00 +0900"
16,집콕하며 영상 즐기는 스트리밍족 증가…막걸리·생맥주·캔와인 등 인기,http://digitalchosun.dizzo.com/site/data/html_dir/2021/04/23/2021042380119.html,http://digitalchosun.dizzo.com/site/data/html_dir/2021/04/23/2021042380119.html,말리부 오리지널 200mL 1병과 말리부 라임 200mL 1병이 제공되며 GS25의 주류 스마트오더 시스템 '와인25플러스'를 통해 구매할 수 있다. 상품 포장박스에는 '말리쿨' 칵테일 황금비율 레시피가 적혀 있어 집에서도 맛있는... ,"Fri, 23 Apr 2021 14:36:00 +0900"
17,"[시경Today-식음료] 매일유업, '바리스타룰스 그란데' 광고 공개 外",http://www.meconomynews.com/news/articleView.html?idxno=52707,http://www.meconomynews.com/news/articleView.html?idxno=52707,"특히, 스마트 카페 전용 모바일 App에서 커스터마이징 메뉴를 강화해 '나만의 메뉴'부터 오더 기능, 선불카드 결제, 스탬프 적립, 다양한 이벤트, 쿠폰 사용까지 멤버십과 리워드 혜택을 차별화했다. 커피에 반하다는... ","Fri, 23 Apr 2021 14:24:00 +0900"
18,"전세계 와인 소비, 19년만 최저치 기록... 국내는 급 성장",http://www.sommeliertimes.com/news/articleView.html?idxno=18701,http://www.sommeliertimes.com/news/articleView.html?idxno=18701,"최근에는 앱을 통한 스마트 오더 유저를 통해 그 소비가 가속하고 있는 모습이다. 자연스레 와인 수입 또한 역대치를 돌파했다. 작년에만 2,600억 원 이상의 와인 수입해 사상 최대치를 기록했고, 해외 언론 등은 아직... ","Fri, 23 Apr 2021 14:02:00 +0900"
19,고속도로 휴게소에 '음식조리·서빙로봇' 이색서비스 도입,http://www.kbiznews.co.kr/news/articleView.html?idxno=80704,http://www.kbiznews.co.kr/news/articleView.html?idxno=80704,"탁자 등에 비치된 QR코드를 휴대폰으로 스캔하거나 모바일 App(네이버 주문, 페이코 오더, 스마트 오더 2.0)을 통해 실내매장의 음식을 주문할 수 있으며, 안성(서울방향)휴게소에서는 실외매장인 열린매장 음식도 모바일... ","Fri, 23 Apr 2021 12:54:00 +0900"
20,"고속도로 휴게소에 커피·튀김조리 로봇, 서빙로봇도 도입",http://www.busan.com/view/busan/view.php?code=2021042310580716217,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001085454,"스캔하거나 모바일 앱을 통해 실내매장의 음식을 주문할 수 있으며 안성(서울방향)휴게소에서는 실외매장인 열린매장 음식도 모바일 주문이 가능하다. 모바일 앱은 네이버 주문, 페이코 오더, 스마트 오더 2.0 등이다.","Fri, 23 Apr 2021 10:59:00 +0900"
21,"코로나 집콕엔 넷플릭스! 주류업계, 스트리밍족 위한 홈술 주류 추천",http://www.sommeliertimes.com/news/articleView.html?idxno=18693,http://www.sommeliertimes.com/news/articleView.html?idxno=18693,말리부 오리지널 200mL 1병과 말리부 라임 200mL 1병이 제공되며 GS25의 주류 스마트오더 시스템 '와인25플러스'를 통해 구매할 수 있다. 상품 포장박스에는 '말리쿨' 칵테일 황금비율 레시피가 적혀 있어 집에서도 맛있는... ,"Fri, 23 Apr 2021 10:06:00 +0900"
